label,scenario,n,recovered,strict_recovery,strict_ci_low,strict_ci_high,response,response_ci_low,response_ci_high,top1
Missing ring,A1-single-missing,23,21,0.9130434782608695,0.7320401892425634,0.9758199955157796,1,0.8568833815495731,1.0,0.42857142857142855
False ring,A2-single-false,23,20,0.8695652173913043,0.6787251772990404,0.9546234090636876,0.9565217391304348,0.7900884492974114,0.9922833338565469,0.25
Partial shift,A3-single-partial,23,18,0.782608695652174,0.5809651698373599,0.9033602197341379,0.8260869565217391,0.6286235235977387,0.9302134643693742,0.2222222222222222
Whole-series shift,A4-single-whole,23,22,0.9565217391304348,0.7900884492974114,0.9922833338565469,0.9565217391304348,0.7900884492974114,0.9922833338565469,
