family,truth_events,strict_recovery,response,operation_accuracy,main_window,conditional_window,top1,ci_low,ci_high,files
A,92,0.8804347826086957,0.9347826086956522,0.9347826086956522,0.8804347826086957,0.921875,0.3050847457627119,0.7934782608695652,0.9565217391304348,23
B,552,0.730072463768116,0.9443298969072165,0.8927835051546392,0.8309278350515464,0.918848167539267,0.3247863247863248,0.6105072463768116,0.8405797101449275,23
C,414,0.2222222222222222,0.796875,0.41015625,0.3515625,0.8518518518518519,0.3804347826086957,0.1570048309178744,0.2922705314009662,23
D,276,0.6521739130434783,0.9638009049773756,0.8552036199095022,0.8144796380090498,0.9224137931034483,0.37383177570093457,0.5253623188405797,0.7681159420289855,23
